attendance,midsem,assignment,gpa,quiz,result
51,14,2,1.0,5,1
92,13,0,4.2,3,1
14,7,3,7.7,1,0
71,9,0,0.8,5,0
60,8,1,0.4,5,0
20,16,4,3.3,1,1
82,8,2,7.3,1,1
86,2,4,5.2,5,1
74,10,2,4.2,5,1
74,11,1,8.1,5,1
87,9,2,7.7,1,1
99,16,0,7.9,5,1
23,16,4,4.6,0,1
2,10,5,0.2,0,0
21,3,4,1.7,1,0
52,6,1,7.4,1,0
1,20,5,7.5,1,1
87,13,4,9.7,2,1
29,6,1,1.9,1,0
37,7,3,1.2,2,0
1,0,0,1.4,1,0
63,3,2,1.8,3,0
59,11,2,5.3,4,1
20,2,2,9.8,5,0
32,12,3,5.9,5,1
75,19,0,5.2,0,1
57,5,4,6.7,3,0
21,10,4,0.7,4,0
88,3,0,8.2,5,0
48,19,5,6.5,5,1
90,15,0,1.7,2,1
58,6,2,6.3,0,0
41,10,4,6.0,2,0
91,0,0,0.6,2,0
59,6,4,2.7,0,0
79,11,0,3.9,4,1
14,6,1,2.4,0,0
61,6,2,2.4,1,0
61,9,0,5.7,2,0
46,15,3,4.7,1,1
61,7,0,6.7,0,0
50,8,1,9.6,0,0
54,8,3,6.6,5,1
63,1,3,5.8,4,0
2,12,0,8.5,2,0
100,12,1,6.3,3,1
50,3,3,1.7,0,0
6,11,2,3.1,5,0
20,16,5,7.3,3,1
72,1,2,7.4,2,0
38,12,4,9.9,1,1
17,17,4,6.3,2,1
3,14,1,9.0,4,0
88,7,3,0.5,3,1
59,14,2,5.7,5,1
13,0,2,9.2,3,0
8,19,5,2.9,1,1
89,9,1,1.5,5,1
52,11,3,3.5,1,1
1,4,1,7.9,0,0
83,8,0,0.8,2,0
91,7,2,6.0,4,1
59,15,1,1.4,0,0
70,13,1,4.4,2,1
43,12,5,9.7,1,1
7,20,0,2.0,4,0
46,12,4,0.3,1,0
34,4,2,4.3,5,0
77,15,5,5.8,1,1
80,10,1,3.0,3,1
35,4,2,5.4,2,0
49,12,4,9.5,0,1
3,10,1,3.1,3,0
1,18,0,3.1,5,0
5,2,2,4.8,2,0
53,14,5,5.2,5,1
3,6,0,0.0,2,0
53,6,4,6.2,2,1
92,5,4,10.0,4,1
62,2,2,2.9,3,0
17,12,4,6.3,0,0
89,6,3,0.0,3,1
43,4,5,6.0,5,1
33,17,2,4.5,1,1
73,7,3,5.3,5,1
61,16,4,5.4,2,1
99,19,2,1.8,1,1
13,0,3,7.7,3,0
94,13,4,5.6,0,1
47,16,1,2.7,1,1
14,9,1,9.4,1,0
71,11,0,0.1,4,0
77,15,1,7.3,3,1
86,13,3,3.8,1,1
61,15,5,5.2,3,1
39,7,1,2.9,0,0
84,9,2,3.2,1,1
79,16,2,0.2,0,1
81,17,2,7.3,5,1
52,19,1,7.1,1,1
23,15,1,6.5,2,0
25,16,0,8.8,4,1
88,15,5,9.0,4,1
59,18,5,5.6,4,1
40,7,4,6.8,0,0
28,5,0,0.1,3,0
14,5,3,8.5,4,0
44,20,2,8.2,5,1
64,8,1,0.2,1,0
88,3,4,5.4,1,1
70,11,4,9.1,2,1
8,11,1,1.8,0,0
87,16,0,3.5,1,1
0,14,4,3.3,1,0
7,8,5,3.6,2,0
87,6,0,0.4,2,0
62,9,1,2.8,3,0
10,15,0,2.9,3,0
80,11,5,8.7,3,1
7,6,2,3.5,1,0
34,17,1,4.5,2,1
34,14,5,3.8,5,1
32,5,1,1.2,0,0
4,11,5,9.9,3,0
40,10,5,8.3,5,1
27,19,4,5.4,4,1
6,2,4,4.8,1,0
72,1,4,6.5,0,0
71,5,2,3.3,1,0
11,4,2,0.5,5,0
33,17,5,4.0,3,1
32,15,3,9.8,5,1
47,7,1,1.8,5,0
22,19,4,5.3,1,1
61,10,1,0.1,3,0
87,9,5,1.2,1,1
36,11,0,5.9,3,0
98,20,5,3.0,2,1
43,5,2,9.1,2,0
85,19,3,4.1,2,1
90,4,0,2.1,2,0
34,8,1,5.5,2,0
64,15,2,7.9,4,1
98,13,4,0.2,1,1
100,7,0,5.1,5,1
46,19,2,7.7,2,1
77,18,1,1.0,4,1
